COUNTRY_NAME,COUNTRY,VENDOR_ID,BDR_ID,DELIVERY_CENTER_ID,SECTOR_ID,SEGMENT_BDR,TIME_LIMIT,AVAILABLE_TIME_DENOMINATOR,AVAILABLE_TIME_LIMIT_COUNTRY_NO_SEGMENT_BDR,IDEAL_TIME_LIMIT,IDEAL_TIME_LIMIT_NO_SEGMENT_BDR,MONTH_YEAR
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR116712,-,930,KT / CONJUNTA,15,250,19,null,null,2024-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR102134,-,302,KT / CONJUNTA,15,250,19,null,null,2024-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR173253010062,17325301,60,KT / CONJUNTA,15,250,19,null,null,2024-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR119567010002,11956701,91,KT / CONJUNTA,15,250,19,null,null,2024-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135920010015,13592001,95,KT / CONJUNTA,15,250,19,null,null,2024-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR090051010021,0900510001,null,KT / CONJUNTA,15,250,19,null,null,2024-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR099621010005,09962101,911,KT / CONJUNTA,15,250,19,null,null,2024-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR439341050004,4393410025,null,KT / CONJUNTA,15,250,19,null,null,2024-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR116739,-,940,AUTOSERVICIOS,40,250,19,null,null,2024-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR125253010038,12525301,91,KT / CONJUNTA,15,250,19,null,null,2024-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR382508030008,38250803,53,KT / CONJUNTA,15,250,19,null,null,2024-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR358870020017,3588700001,null,KT / CONJUNTA,15,250,19,null,null,2024-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR166364010004,1663640001,null,KT / CONJUNTA,15,250,19,null,null,2024-02-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR116754,-,940,AUTOSERVICIOS,40,250,19,null,null,2024-03-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR606048010065,6060480001,null,AUTOSERVICIOS,40,250,19,null,null,2024-03-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR468231010019,4682310001,null,KT / CONJUNTA,15,250,19,null,null,2024-03-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR310069010011,3100690001,null,KT / CONJUNTA,15,250,19,null,null,2024-03-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR097850012108,09785001,53,KT / CONJUNTA,15,250,19,null,null,2024-03-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR364224010012,3642240001,null,KT / CONJUNTA,15,250,19,null,null,2024-03-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR164792030033,1647920003,null,KT / CONJUNTA,15,250,19,null,null,2024-03-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR181652010036,1816520001,null,AUTOSERVICIOS,40,250,19,null,null,2024-04-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR120091,-,901,KT / CONJUNTA,15,250,19,null,null,2024-04-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR355363010010,35536301,802,KT / CONJUNTA,15,250,19,null,null,2024-04-01
